,OpCode,Family,Genus,Species,Treatment,Precision..mm.,Activity,Fish.ID,School.Individual,Length..mm.,Length..m.,Time,Speed,Length.FID,Measurements
50,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Shark,NA,flight,Shark 1,Individual,0,0,3,0,speed.prior.1,0
51,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,Shark,5.498,flight,Shark 2,Individual,407.772,0.407772,3,NA,speed.prior.1,NA
52,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,Shark,18.865,flight,Shark 3,Individual,316.402,0.316402,3,NA,speed.prior.1,NA
53,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,Shark,16.548,C- turn,Shark 1,Individual,425.507,0.425507,3,NA,speed.prior.1,NA
54,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,Pipe,NA,C- turn,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
55,LIZARD2_CAM3_RIG1,Haemulidae,Diagramma,pictum,Diver,NA,flight,Diver 1,Individual,0,0,3,0,speed.prior.1,0
56,LIZARD2_CAM4_RIG1,Serranidae,Plectropomus,sp,Diver,11.519,C- turn,Diver 1,Individual,201.716,0.201716,1,0.201716,speed.prior.1,0.201716
57,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Turtle,NA,no response,Turtle 1,Individual,NA,NA,NA,NA,speed.prior.1,NA
58,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Turtle,NA,no response,Turtle 2,Individual,NA,NA,NA,NA,speed.prior.1,NA
59,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Perspex,NA,no response,Perspex 1,Individual,0,0,3,0,speed.prior.1,0
60,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Pipe,NA,no response,Pipe 1,Individual,0,0,1,0,speed.prior.1,0
61,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Pipe,NA,no response,Pipe 2,Individual,0,0,1,0,speed.prior.1,0
62,LIZARD2_CAM4_RIG1,Lutjanidae,Lutjanus,fulviflamma,Shark,NA,C- turn,Shark 1,Individual,0,0,1,0,speed.prior.1,0
63,LIZARD2_CAM4_RIG1,Haemulidae,Diagramma,pictum,Shark,NA,no response,Shark 2,Individual,0,0,3,0,speed.prior.1,0
64,LIZARD2_CAM5_RIG3,Lutjanidae,Lutjanus,carponotatus,Pipe,3.684,flight,Pipe 3,Individual,75.838,0.075838,3,0.025279333,speed.prior.1,0.025279333
65,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Pipe,2.979,flight,Pipe 1,Individual,122.19,0.12219,3,0.04073,speed.prior.1,0.04073
66,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Shark,4.476,C- turn,Shark 1,Individual,232.275,0.232275,3,0.077425,speed.prior.1,0.077425
67,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Shark,2.819,no response,Shark 2,Individual,74.228,0.074228,2,0.037114,speed.prior.1,0.037114
68,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Perspex,4.385,no response,Perspex 1,Individual,68.121,0.068121,3,0.022707,speed.prior.1,0.022707
69,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Perspex,6.314,no response,Perspex 2,Individual,77.873,0.077873,3,0.025957667,speed.prior.1,0.025957667
70,LIZARD2_CAM5_RIG3,Lutjanidae,Lutjanus,carponotatus,Perspex,9.846,no response,Perspex 3,Individual,143.461,0.143461,3,0.047820333,speed.prior.1,0.047820333
71,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Diver,3.318,flight,Diver 1,Individual,109.373,0.109373,3,0.036457667,speed.prior.1,0.036457667
72,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Diver,7.086,C- turn,Diver 2,Individual,108.777,0.108777,3,0.036259,speed.prior.1,0.036259
73,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,flight,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
74,LIZARD2_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Turtle,NA,flight,Turtle 1,Individual,0,0,1,0,speed.prior.1,0
75,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Turtle,NA,flight,Turtle 2,Individual,0,0,1,0,speed.prior.1,0
76,LIZARD2_CAM5_RIG3,Haemulidae,Diagramma,pictum,Turtle,NA,flight,Turtle 3,Individual,0,0,1,0,speed.prior.1,0
77,LIZARD2_CAM7_RIG1,Haemulidae,Diagramma,pictum,Turtle,NA,no response,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
78,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Shark,8.622,flight,Shark 1,Individual,101.63,0.10163,3,0.033876667,speed.prior.1,0.033876667
79,LIZARD3_CAM1_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,Diver,NA,hide,Diver 1,Individual,0,0,3,0,speed.prior.1,0
80,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Diver,NA,hide,Diver 2,Individual,0,0,3,0,speed.prior.1,0
81,LIZARD3_CAM1_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,Diver,NA,hide,Diver 3,Individual,0,0,3,0,speed.prior.1,0
82,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Perspex,NA,C- turn,Perspex 1,Individual,NA,NA,NA,NA,speed.prior.1,NA
83,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,albovittatus,Perspex,NA,NA,Perspex 2,Individual,0,0,3,0,speed.prior.1,0
84,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 1,Individual,0,0,3,0,speed.prior.1,0
85,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
86,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 3,Individual,0,0,3,0,speed.prior.1,0
87,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,albovittatus,Shark,NA,flight,Shark 2,Individual,0,0,3,0,speed.prior.1,0
88,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Shark,NA,hide,Shark 3,Individual,0,0,3,0,speed.prior.1,0
89,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Shark,NA,flight,Shark 4,Individual,0,0,3,0,speed.prior.1,0
90,LIZARD3_CAM1_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,Shark,NA,flight,Shark 5,Individual,0,0,3,0,speed.prior.1,0
91,LIZARD3_CAM1_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,Turtle,NA,flight,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
92,LIZARD3_CAM1_RIG1,Haemulidae,Plectorhinchus,albovittatus,Turtle,NA,flight,Turtle 2,Individual,0,0,3,0,speed.prior.1,0
93,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,28.773,C- turn,Perspex 2,Individual,306.831,0.306831,3,0.102277,speed.prior.1,0.102277
94,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,14.425,C- turn,Perspex 3,Individual,416.883,0.416883,3,0.138961,speed.prior.1,0.138961
95,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,28.119,no response,Perspex 4,Individual,874.67,0.87467,3,0.291556667,speed.prior.1,0.291556667
96,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,Diver,26.784,flight,Diver 1,Individual,279.859,0.279859,3,0.093286333,speed.prior.1,0.093286333
97,LIZARD3_CAM2_RIG1,Lutjanidae,Lutjanus,fulviflamma,Pipe,12.833,no response,Pipe 1,Individual,453.631,0.453631,3,0.151210333,speed.prior.1,0.151210333
98,LIZARD3_CAM2_RIG1,Pomacanthidae,Pomacanthus,sexstriatus,Shark,20.125,flight,Shark 1,Individual,226.926,0.226926,3,0.075642,speed.prior.1,0.075642
99,LIZARD3_CAM2_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
100,LIZARD3_CAM2_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Turtle,NA,flight,Turtle 2,Individual,0,0,3,0,speed.prior.1,0
101,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Pipe,12.758,flight,Pipe 1a,School,227.238,0.227238,3,0.075746,speed.prior.1,0.075746
102,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Pipe,3.24,flight,Pipe 1b,School,282.571,0.282571,3,0.094190333,speed.prior.1,0.094190333
103,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Pipe,11.864,flight,Pipe 1b,School,352.289,0.352289,3,0.117429667,speed.prior.3,0.117429667
104,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Turtle,7.403,no response,Turtle 1a,School,68.061,0.068061,3,0.022687,speed.prior.1,0.022687
105,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Turtle,9.155,no response,Turtle 1b,School,133.854,0.133854,3,0.044618,speed.prior.1,0.044618
106,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Turtle,8.573,no response,Turtle 1c,School,173.167,0.173167,3,0.057722333,speed.prior.1,0.057722333
107,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Turtle,2.055,no response,Turtle 1c,School,75.142,0.075142,3,0.025047333,speed.prior.3,0.025047333
108,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Perspex,7.207,no response,Perspex 1a,School,86.653,0.086653,3,0.028884333,speed.prior.1,0.028884333
109,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Perspex,5.191,no response,Perspex 1b,School,53.191,0.053191,3,0.017730333,speed.prior.1,0.017730333
110,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Perspex,7.69,no response,Perspex 1c,School,119.465,0.119465,3,0.039821667,speed.prior.1,0.039821667
111,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Diver,7.009,NA,Diver 2,Individual,79.063,0.079063,3,0.026354333,speed.prior.1,0.026354333
112,LIZARD3_CAM3_RIG2,Lutjanidae,Lutjanus,fulviflamma,Diver,12.304,flight,Diver 3,Individual,127.628,0.127628,3,0.042542667,speed.prior.1,0.042542667
113,LIZARD3_CAM3_RIG2,Haemulidae,Plectorhinchus,lineatus,Diver,NA,flight,Diver 1,Individual,0,NA,3,0,speed.prior.1,0
114,LIZARD3_CAM3_RIG2,Haemulidae,Plectorhinchus,chrysotaenia,Shark,NA,hide,Shark 1,Individual,0,NA,3,0,speed.prior.1,0
115,LIZARD3_CAM3_RIG2,Haemulidae,Plectorhinchus,albovittatus,Shark,NA,no response,Shark 2,Individual,0,NA,3,0,speed.prior.1,0
119,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,8.212,flight,Diver 1a,School,196.183,0.196183,1,0.196183,speed.prior.1,0.196183
120,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,4.899,flight,Diver 1b,School,138.111,0.138111,1,0.138111,speed.prior.1,0.138111
121,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,1.942,flight,Diver 1c,School,113.72,0.11372,1,0.11372,speed.prior.1,0.11372
125,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,7.925,flight,Diver 1a,School,376.303,0.376303,1,0.376303,speed.prior.2,0.376303
126,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,4.468,flight,Diver 1b,School,314.827,0.314827,1,0.314827,speed.prior.2,0.314827
127,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,2.662,flight,Diver 1c,School,302.981,0.302981,1,0.302981,speed.prior.2,0.302981
131,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,4.338,flight,Diver 1a,School,649.934,0.649934,1,0.649934,speed.prior.3,0.649934
132,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,4.056,flight,Diver 1b,School,474.302,0.474302,1,0.474302,speed.prior.3,0.474302
133,LIZARD3_CAM5_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,2.326,flight,Diver 1c,School,393.413,0.393413,1,0.393413,speed.prior.3,0.393413
140,LIZARD3_CAM5_RIG3,Haemulidae,Plectorhinchus,lineatus,Shark,NA,flight,Shark 1,Individual,0,0,3,0,speed.prior.1,0
141,LIZARD3_CAM5_RIG3,Haemulidae,Plectorhinchus,lineatus,Turtle,NA,flight,Turtle 1,Individual,0,0,1,0,speed.prior.1,0
142,LIZARD3_CAM5_RIG3,Haemulidae,Plectorhinchus,chrysotaenia,Turtle,NA,hide,Turtle 2,Individual,0,0,1,0,speed.prior.1,0
143,LIZARD3_CAM6_RIG2,Haemulidae,Plectorhinchus,lineatus,Turtle,8.777,hide,Turtle 1,Individual,85.803,0.085803,0.57,0.150531579,speed.prior.1,0.150531579
144,LIZARD3_CAM6_RIG2,Lutjanidae,Lutjanus,fulviflamma,Diver,6.952,flight,Diver 1,Individual,151.44,0.15144,1,0.15144,speed.prior.1,0.15144
145,LIZARD3_CAM6_RIG2,Haemulidae,Plectorhinchus,chrysotaenia,Shark,NA,no response,Shark 1,Individual,0,0,3,0,speed.prior.1,0
146,LIZARD3_CAM6_RIG2,Haemulidae,Plectorhinchus,chrysotaenia,Turtle,NA,hide,Turtle 2,Individual,0,0,3,0,speed.prior.1,0
147,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,10.965,flight,Diver 1a,School,168.089,0.168089,NA,NA,speed.prior.1,NA
148,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Diver,6.481,flight,Diver 1b,School,126.81,0.12681,3,0.04227,speed.prior.1,0.04227
149,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Perspex,5.14,no response,Perspex 2b,School,121.131,0.121131,3,0.040377,speed.prior.1,0.040377
150,LIZARD4_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Perspex,NA,no response,Perspex 2a,School,0,0,3,0,speed.prior.1,0
151,LIZARD4_CAM2_RIG3,Serranidae,Plectropomus,sp,Perspex,NA,no response,Perspex 1,Individual,0,0,3,0,speed.prior.1,0
152,LIZARD4_CAM2_RIG3,Lethrinidae,Lethrinus,atkinsoni,Pipe,NA,flight,Pipe 1,Individual,0,0,3,0,speed.prior.1,0
153,LIZARD4_CAM2_RIG3,Serranidae,Plectropomus,sp,Pipe,NA,no response,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
154,LIZARD4_CAM4_RIG1,Lutjanidae,Lutjanus,bohar,Shark,21.114,flight,Shark 3,Individual,338.402,0.338402,3,0.112800667,speed.prior.1,0.112800667
155,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Shark,29.972,flight,Shark 2,Individual,231.851,0.231851,3,0.077283667,speed.prior.1,0.077283667
156,LIZARD4_CAM4_RIG1,Serranidae,Plectropomus,sp,Shark,3.587,flight,Shark 1,Individual,245.007,0.245007,3,0.081669,speed.prior.1,0.081669
157,LIZARD4_CAM4_RIG1,Lutjanidae,Lutjanus,fulviflamma,Shark,8.226,flight,Shark 4a,School,77.812,0.077812,1,0.077812,speed.prior.1,0.077812
158,LIZARD4_CAM4_RIG1,Lutjanidae,Lutjanus,fulviflamma,Shark,5.85,flight,Shark 4b,School,36.136,0.036136,1,0.036136,speed.prior.1,0.036136
159,LIZARD4_CAM4_RIG1,Lutjanidae,Lutjanus,fulviflamma,Shark,4.098,flight,Shark 4c,School,84.443,0.084443,1,0.084443,speed.prior.1,0.084443
160,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Diver,3.94,flight,Diver 1,Individual,116.401,0.116401,3,0.038800333,speed.prior.1,0.038800333
161,LIZARD4_CAM4_RIG1,Serranidae,Plectropomus,sp,Pipe,NA,swim backwards,Pipe 1,Individual,0,0,3,0,speed.prior.1,0
162,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
163,LIZARD4_CAM4_RIG1,Serranidae,Plectropomus,sp,Turtle,NA,no response,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
164,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Turtle,NA,flight,Turtle 2,Individual,0,0,3,0,speed.prior.1,0
165,LIZARD4_CAM4_RIG1,Serranidae,Plectropomus,sp,Perspex,NA,no response,Perspex 1,Individual,0,0,3,0,speed.prior.1,0
166,LIZARD4_CAM4_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Perspex,NA,no response,Perspex 2,Individual,0,0,3,0,speed.prior.1,0
167,LIZARD4_CAM4_RIG1,Lutjanidae,Lutjanus,carponotatus,Diver,NA,C- turn,Diver 2,Individual,0,0,3,0,speed.prior.1,0
168,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,19.558,flight,Perspex 3a,School,98.032,0.098032,3,0.032677333,speed.prior.1,0.032677333
169,LIZARD4_CAM5_RIG1,Haemulidae,Plectorhinchus,lineatus,Perspex,37.321,C- turn,Perspex 1,Individual,380.374,0.380374,3,0.126791333,speed.prior.1,0.126791333
170,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,14.325,C- turn,Perspex 2,Individual,667.123,0.667123,3,0.222374333,speed.prior.1,0.222374333
171,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,6.698,flight,Perspex 3b,School,133.947,0.133947,3,0.044649,speed.prior.1,0.044649
172,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,fulviflamma,Perspex,28.495,flight,Perspex 3c,School,286.931,0.286931,3,0.095643667,speed.prior.1,0.095643667
173,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,carponotatus,Turtle,6.746,flight,Turtle 1,Individual,267.217,0.267217,1.9,0.140640526,speed.prior.1,0.140640526
174,LIZARD4_CAM5_RIG1,Lutjanidae,Lutjanus,bohar,Pipe,21.011,flight,Pipe 1,Individual,437.282,0.437282,3,0.145760667,speed.prior.1,0.145760667
175,LIZARD4_CAM5_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Shark,8.818,flight,Shark 1,Individual,95.49,0.09549,3,0.03183,speed.prior.1,0.03183
176,LIZARD4_CAM5_RIG1,Serranidae,Plectropomus,sp,Diver,NA,flight,Diver 1,Individual,0,0,3,0,speed.prior.1,0
177,LIZARD4_CAM5_RIG1,Haemulidae,Plectorhinchus,lineatus,Shark,NA,flight,Shark 2,Individual,0,0,3,0,speed.prior.1,0
178,LIZARD4_CAM7_RIG2,Serranidae,Plectropomus,sp,Turtle,NA,no response,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
179,LIZARD5_CAM1_RIG2,Serranidae,Plectropomus,sp,Shark,4.026,flight,Shark 1,Individual,87.683,0.087683,3,0.029227667,speed.prior.1,0.029227667
